numenc;descricao
2310115096;REGULAMENTA/ALTERA CIRCULACAO
2310115096;SINALIZAÇAO DE ADVERTENCIA
2310117129;PROJETO DE SEGURANÇA
2310118079;PROJETO GEOMETRICO
2310118109;PAIRE ESCOLA
2310119075;PROJETO GEOMETRICO
2310120103;PAIRE ESCOLA
2310121070;REGULAMENTA/ALTERA CIRCULACAO
2310121070;REGULAMENTA ESTACIONAMENTO
2310121070;HORIZ.SIST.VIARIO SECUNDARIO
2310123129;REGULAMENTA/ALTERA CIRCULACAO
2310123129;REGULAMENTA ESTACIONAMENTO
2310123129;SINALIZAÇAO DE ADVERTENCIA
2310126128;SINALIZAÇAO DE ADVERTENCIA
2310127124;REGULAMENTA ESTACIONAMENTO
2310129127;REGULAMENTA ESTACIONAMENTO
2310131121;REGULAMENTA ESTACIONAMENTO
2310132128;REGULAMENTA/ALTERA CIRCULACAO
2310132128;REGULAMENTA ESTACIONAMENTO
2310132128;REGULAMENTA PREFERENCIAL
2310132128;SINALIZAÇAO DE ADVERTENCIA
2310132128;PROJETO DE SEGURANÇA
2310132128;MANUTENÇAO DE MINI-ROTATORIA
2310134074;HORIZ.SIST.VIARIO SECUNDARIO
2310139122;SINALIZAÇAO DE ADVERTENCIA
2310139122;PROJETO DE SEGURANÇA
2310140082;PROJETO OBRA CIVIL
2310140120;SINALIZAÇAO DE ADVERTENCIA
2310140120;PROJETO DE SEGURANÇA
2310147125;PROJETO DE SEGURANÇA
2310156124;REGULAMENTA ESTACIONAMENTO
2310156124;PROJETO DE SEGURANÇA
2310159123;REGULAMENTA/ALTERA CIRCULACAO
2310161098;REGULAMENTA ESTACIONAMENTO
2310161098;REGULAMENTA CARGA/DESCARGA
2310162094;REGULAMENTA ESTACIONAMENTO
2310162094;REGULAMENTA CARGA/DESCARGA
2310163090;REGULAMENTA ESTACIONAMENTO
2310163090;REGULAMENTA CARGA/DESCARGA
2310164097;REGULAMENTA ESTACIONAMENTO
2310164097;REGULAMENTA CARGA/DESCARGA
2310164127;HORIZ.SIST.VIARIO SECUNDARIO
2310164127;PROJETO DE SEGURANÇA
2310164127;DISPOSITIVOS AUXILIARES
2310165093;REGULAMENTA ESTACIONAMENTO
2310165093;REGULAMENTA CARGA/DESCARGA
2310165123;REGULAMENTA ESTACIONAMENTO
2310166090;REGULAMENTA ESTACIONAMENTO
2310166090;REGULAMENTA CARGA/DESCARGA
2310167096;REGULAMENTA ESTACIONAMENTO
2310167096;REGULAMENTA CARGA/DESCARGA
2310168092;REGULAMENTA ESTACIONAMENTO
2310168092;REGULAMENTA CARGA/DESCARGA
2310168122;REGULAMENTA/ALTERA CIRCULACAO
2310169099;REGULAMENTA ESTACIONAMENTO
2310169099;REGULAMENTA CARGA/DESCARGA
2310169129;REGULAMENTA ESTACIONAMENTO
2310170097;REGULAMENTA ESTACIONAMENTO
2310170097;REGULAMENTA CARGA/DESCARGA
2310170127;PLACA SÃO FRANCISCO
2310171123;SINALIZAÇAO DE ADVERTENCIA
2310175129;REGULAMENTA ESTACIONAMENTO
2310176087;HORIZ. SIST. VIARIO PRINCIPAL
2310177121;PROJETO MINI ROTATORIA
2310178128;REGULAMENTA ESTACIONAMENTO
2310181129;REGULAMENTA ESTACIONAMENTO
2310184128;REGULAMENTA VELOCIDADE
2310185124;REGULAMENTA/ALTERA CIRCULACAO
2310185124;REGULAMENTA CIRCULA?AO DE ONIBUS E CAMINHOES
2310186120;REGULAMENTA ESTACIONAMENTO
2310187119;PROJETO DE SEGURANÇA - PEDESTRE
2310187127;REGULAMENTA VELOCIDADE
2310191108;SINALIZAÇAO DE ADVERTENCIA
2310191108;REGULAMENTA VELOCIDADE
2310192120;SINALIZAÇAO DE ADVERTENCIA
2310192120;PROJETO DE SEGURANÇA - PEDESTRE
2310193097;REGULAMENTA ESTACIONAMENTO
2310193097;REGULAMENTA CARGA/DESCARGA
2310194093;REGULAMENTA ESTACIONAMENTO
2310194093;REGULAMENTA CARGA/DESCARGA
2310195120;REGULAMENTA/ALTERA CIRCULACAO
2310195120;PROJETO CICLOVIARIO
2310196126;REGULAMENTA ESTACIONAMENTO
2310196126;SINALIZACAO SERVICOS/EDUCATIVA
2310197122;REGULAMENTA ESTACIONAMENTO
2310198129;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310199125;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310200123;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310201120;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310202126;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310203122;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310207128;REGULAMENTA/ALTERA CIRCULACAO
2310208124;REGULAMENTA ESTACIONAMENTO
2310210064;TRAVESSIA DE PEDESTRES ILUMINADA
2310212083;HORIZ.SIST.VIARIO SECUNDARIO
2310216127;REGULAMENTA PREFERENCIAL
2310216127;SINALIZAÇAO DE ADVERTENCIA
2310216127;REGULAMENTA VELOCIDADE
2310221120;REGULAMENTA ESTACIONAMENTO
2310223123;HORIZ.SIST.VIARIO SECUNDARIO
2310224120;REGULAMENTA ESTACIONAMENTO
2310224120;HORIZ.SIST.VIARIO SECUNDARIO
2310224120;PAIRE TEMPLOS RELIGIOSOS
2310225126;MANUTENÇAO DE MINI-ROTATORIA
2310226122;REGULAMENTA/ALTERA CIRCULACAO
2310226122;REGULAMENTA ESTACIONAMENTO
2310226122;REGULAMENTA PREFERENCIAL
2310226122;PROJETO DE SEGURANÇA
2310227129;REGULAMENTA ESTACIONAMENTO
2310227129;REGULAMENTA PREFERENCIAL
2310227129;MANUTENÇAO DE MINI-ROTATORIA
2310228125;REGULAMENTA ESTACIONAMENTO
2310229091;PROJETO GEOMETRICO
2310229091;PROJETO DE SEGURANÇA - PEDESTRE
2310230120;REGULAMENTA ESTACIONAMENTO
2310230120;SINALIZACAO SERVICOS/EDUCATIVA
2310230120;SINALIZAÇAO DE ADVERTENCIA
2310230120;REGULAMENTA VELOCIDADE
2310230120;PAIRE ESCOLA
2310230120;PROJETO DE SEGURANÇA - PEDESTRE
2310230120;MANUTENÇÃO DE SINALIZAÇÃO JUNTO ÀS ESCOLAS
2310231126;REGULAMENTA ESTACIONAMENTO
2310232092;PROJETO GEOMETRICO
2310232122;REGULAMENTA ESTACIONAMENTO
2310233129;REGULAMENTA ESTACIONAMENTO
2310236098;PAIRE ESCOLA
2310236110;PAIRE DEFICIENTE FISICO
2310237124;REGULAMENTA ESTACIONAMENTO
2310238120;REGULAMENTA ESTACIONAMENTO
2310239127;REGULAMENTA ESTACIONAMENTO
2310239127;HORIZ.SIST.VIARIO SECUNDARIO
2310239127;PAIRE ESCOLA
2310240125;REGULAMENTA VELOCIDADE
2310242101;HORIZONTAL RECAPE
2310242101;REGULAMENTA ESTACIONAMENTO
2310243124;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310246107;REGULAMENTA ESTACIONAMENTO
2310246107;PAIRE ESCOLA
