numenc;local
2310028134;AV   DIOGENES RIBEIRO DE LIMA  X  PC BETIONE
2310028134;R   ALVILANDIA  X  R ARAMANAI
2310028134;R DR  CARLOS NORBERTO DE S. ARANHA  X  R DR ALBERTO SEABRA
2310028134;R   JAPIACOIA  X  R DR ALBERTO SEABRA
2310028134;R   JAPIACOIA  X  R ALVILANDIA
2310028134;AV   DIOGENES RIBEIRO DE LIMA  X  AV S GUALTER
2310028134;R   ALVILANDIA  X  R GREGORIO PAES DE ALMEIDA
2310028134;R   GREGORIO PAES DE ALMEIDA  X  R DONA ELISA DE MORAES MENDES
2310028134;R DR  CARLOS NORBERTO DE S. ARANHA  X  R DONA ELISA DE MORAES MENDES
2310028134;AV   DIOGENES RIBEIRO DE LIMA  X  R CAPIVARINHAS
2310028134;R DONA  ELISA DE MORAES MENDES  X  R CORDEIRO GALVAO
2310028134;R DR  ALBERTO SEABRA  X  AV DIOGENES RIBEIRO DE LIMA
2310028134;R   JAPIACOIA  X  R DR LUIS AUGUSTO DE QUEIROS ARANHA
2310029130;AV PDE  PEREIRA DE ANDRADE  - N.127 - PROX.  AV.QUEIROZ FILHO
2310032131;AV   ARRUDA BOTELHO  X  AV DAS NACOES UNIDAS
2310033138;R   FRADIQUE COUTINHO  X  R INACIO PEREIRA DA ROCHA
2310034134;R   AGISSE  ENTRE  R LUMINARIAS E  R IPERO
2310035130;R   CAYOWAA  X  R VANDERLEI
2310037133;AV S  GUALTER  ENTRE  R S DOMINGOS SAVIO E  R CERRO CORA
2310047082;R   HEITOR PENTEADO  ENTRE  R CRISTIANO VIANA E  R ALVES GUIMARAES
2310050091;R   VENANCIO AIRES  ENTRE  R DIANA E  R CAYOWAA
2310050091;R   BARTIRA  ENTRE  R DR FRANCO DA ROCHA E  R DIANA
2310050091;R   AIMBERE  ENTRE  AV SUMARE E  R BARTIRA
2310050091;R DR  FRANCO DA ROCHA  ENTRE  AV SUMARE E  R BARTIRA
2310050091;R   CAYOWAA  ENTRE  R VENANCIO AIRES E  R DR HOMEM DE MELO
2310050091;AV   SUMARE  ENTRE  R VANDERLEI E  PC MARREY JUNIOR
2310050091;R DR  HOMEM DE MELO  ENTRE  R CAYOWAA E  AV SUMARE
2310050091;R MIN  FERREIRA ALVES  ENTRE  R DIANA E  AV POMPEIA
2310050091;PC   MARREY JUNIOR  X  R TURIACU
2310050091;R   TURIACU  X  PC MARREY JUNIOR
2310050091;PC   MARREY JUNIOR 
2310057100;R   COTOXO  ENTRE  R CAJAIBA E  R VENANCIO AIRES
2310063096;R   PURPURINA  ENTRE  R DELFINA E  R FIDALGA
2310070122;R   FAUSTOLO  ENTRE  R SABAUNA E  R CRASSO - ESCOLA ESTADUAL RAUL CORTÊS
2310072125;R PDE  ANTONIO TOMAS  ENTRE  AV FRANCISCO MATARAZZO E  R EMB LEAO VELOSO
2310078115;R   NICOLAU GAGLIARDI  X  R VUPABUSSU - AV. PROF FREDERICO HERMANN JR
2310079120;R   CERRO CORA  X  R CARAMIMUA
2310079120;R   CERRO CORA  X  R LAURA VICUNA
2310090093;AV   FRANCISCO MATARAZZO  ENTRE  AV POMPEIA E  R PDE ANTONIO TOMAS
2310092088;R PDE  CARVALHO  - N.419 - PROX IMO RUA TUCAMBIRA
2310099120;R   OROBO  X  R ALBERTO FARIA
2310099120;R   OROBO  ENTRE  AV DIOGENES RIBEIRO DE LIMA E  R ANTONIO DE GOUVEIA GIUDICE
2310107123;AV DR  ARNALDO  ENTRE  R PROF ERNEST MARCUS E  R JOAO FLORENCIO
2310108120;AV PROF  ALFONSO BOVERO  ENTRE  R BRUXELAS E  R APINAJES
2310109126;R   ALBERTO FARIA  ENTRE  AV S GUALTER E  R DR ALBERTO SEABRA
