MODALIDADE;LICENÇA;CADASTRO
ESCOLAR;650800;650800
ESCOLAR;650900;650900
ESCOLAR;651000;651000
ESCOLAR;651200;651200
ESCOLAR;651400;651400
ESCOLAR;651500;651500
ESCOLAR;651600;651600
ESCOLAR;651700;854700
ESCOLAR;651900;651900
ESCOLAR;652300;652300
ESCOLAR;652400;652400
ESCOLAR;652500;652500
ESCOLAR;652700;652700
ESCOLAR;652800;652800
ESCOLAR;652900;652900
ESCOLAR;653000;653000
ESCOLAR;653100;653100
ESCOLAR;653300;653300
ESCOLAR;653500;653500
ESCOLAR;653600;653600
ESCOLAR;653700;653700
ESCOLAR;653800;653800
ESCOLAR;653900;653900
ESCOLAR;654000;654000
ESCOLAR;654100;654100
ESCOLAR;654200;654200
ESCOLAR;654300;654300
ESCOLAR;654400;654400
ESCOLAR;654700;654700
ESCOLAR;654800;654800
ESCOLAR;654900;654900
ESCOLAR;655000;655000
ESCOLAR;655100;655100
ESCOLAR;655500;655500
ESCOLAR;655600;655600
ESCOLAR;656100;656100
ESCOLAR;656200;656200
ESCOLAR;656300;656300
ESCOLAR;656400;656400
ESCOLAR;656500;656500
ESCOLAR;656600;656600
ESCOLAR;657000;657000
ESCOLAR;657200;657200
ESCOLAR;657400;657400
ESCOLAR;657500;657500
ESCOLAR;657600;657600
ESCOLAR;657700;657700
ESCOLAR;657800;657800
ESCOLAR;658100;658100
ESCOLAR;658200;658200
ESCOLAR;658300;658300
ESCOLAR;658400;756301
ESCOLAR;658500;658500
ESCOLAR;658700;658700
ESCOLAR;659000;659000
ESCOLAR;659200;659200
ESCOLAR;659300;659300
ESCOLAR;659400;659400
ESCOLAR;659500;659500
ESCOLAR;659600;659600
ESCOLAR;659700;659700
ESCOLAR;659900;659900
ESCOLAR;660100;660100
ESCOLAR;660700;660700
ESCOLAR;660800;660800
ESCOLAR;661100;661100
ESCOLAR;661200;661200
ESCOLAR;661300;661300
ESCOLAR;661500;661500
ESCOLAR;661600;661600
ESCOLAR;661700;661700
