MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
FIAT/DUCACOMFFORMA MIC21;2011;23/01/2014;diesel;
I/KIA BESTA GS GRAND;2000;09/01/2014;diesel;
I/M.BENZ313CDI REVESCAP;2011;07/02/2014;diesel;
I/M.BENZ GUERRA MIC 16;2010;10/02/2014;diesel;
FIAT/DUCATO MULTI REVESC;2009;23/01/2014;diesel;
I/JINBEI TOPIC L;2012;24/01/2014;gasolina / gnv;
PEUGEOT/BOXER NIKS 16;2009;23/01/2014;diesel;
AGRALE/MASCA GRANMINI O;2007;03/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;03/02/2014;diesel;
VW/KOMBI LOTA860;2006;16/01/2014;álcool/gasolina;
FIAT/DUCATO MUL REVESCAP;2008;24/01/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2008;06/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2010;24/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;11/01/2014;diesel;
VW/KOMBI LOTA860;2006;30/01/2014;álcool/gasolina;
MARCOPOLO/VOLARE A5 ESON;2002;21/01/2014;diesel;
FIAT/DUCATO MINIBUS;2008;24/01/2014;diesel;
MARCOPOLO/VOLARE;2001;30/01/2014;diesel;
FIAT/DUCACOMFFORMA MIC21;2011;22/01/2014;diesel;
MARCOPOLO/VOLARE V8 ESC;2008;21/01/2014;diesel;
FIAT/DUCATO COMBINATO;2005;04/02/2014;diesel;
I/JINBEI TOPIC L;2011;29/01/2014;gasolina / gnv;
IMP/KIA BESTA 12P GS;2000;03/02/2014;diesel;
VW/KOMBI ESCOLAR;2012;08/01/2014;álcool/gasolina;
IMP/KIA BESTA 12P GS;1998;16/10/2013;diesel;
I/M.BENZ 415 TRANSF PAS;2012;04/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;28/01/2014;diesel;
I/HYUNDAI H100 GL;2000;14/01/2014;diesel;
MARCOPOLO/VOLARE W8 ESC;2008;03/02/2014;diesel;
RENAULT/MASTER EUROLAF P;2011;19/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2013;12/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2010;23/01/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2006;22/01/2014;diesel;
FIAT/DUCATO MULTI REVESC;2009;05/02/2014;diesel;
CITROEN/JUMPER M33M HDI;2009;29/01/2014;diesel;
I/M.BENZ GUERRA MIC 20;2013;30/01/2014;diesel;
I/HYUNDAI H100 GLS;2003;10/10/2013;diesel;
FIAT/DUC TRANSFORMERS TE;2012;12/02/2014;diesel;
VW/KOMBI LOTA860;2009;07/02/2014;álcool/gasolina;
FIAT/DUCATO FABUSFORMA;2012;24/01/2014;diesel;
I/JINBEI TOPIC L;2011;11/02/2014;gasolina;
I/JINBEI FABUSFORMA M35;2010;13/02/2014;gasolina;
IMP/KIA BESTA 12P GS;1999;11/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;11/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;11/02/2014;diesel;
I/JINBEI FABUSFORMA M35;2008;15/01/2014;gasolina / gnv;
I/HYUNDAI H100 GL;1999;14/02/2014;diesel;
FIAT/DUCATO MINIBUS;2009;10/02/2014;diesel;
CITROEN/JUMPER M33M HDI;2005;18/02/2014;diesel;
