MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;2857332;09/05/2007;CANCELADO;09/05/1947;;20
TAXI;2858231;24/04/2015;ATIVO;01/06/1937;17040035;10
TAXI;2871130;22/01/2019;ATIVO;;24001309;10
TAXI;2871734;11/07/2014;ATIVO;08/06/1941;;10
TAXI;2879131;27/08/2015;ATIVO;;17100054;15
TAXI;2913739;21/11/2016;ATIVO;14/12/1950;18060340;5
TAXI;2919931;26/04/2017;ATIVO;18/05/1952;;20
TAXI;2951436;08/09/2015;ATIVO;27/08/1955;23040327;5
TAXI;2979837;31/10/2017;ATIVO;25/11/1952;18040640;5
TAXI;2981530;19/03/2017;ATIVO;27/05/1949;24000833;10
TAXI;3009734;05/01/2015;ATIVO;;20040202;5
TAXI;3021734;29/10/2016;ATIVO;22/11/1936;11060182;5
TAXI;3036537;19/10/2014;ATIVO;;24000361;10
TAXI;3075036;05/09/2016;ATIVO;16/10/1951;18020070;10
TAXI;3141632;11/05/2017;ATIVO;21/06/1947;12100226;5
TAXI;3151336;27/01/2014;ATIVO;18/06/1945;;10
TAXI;3181430;07/11/2017;ATIVO;26/11/1954;;40
TAXI;3193837;20/06/2017;ATIVO;;13160079;10
TAXI;3228231;02/06/2015;ATIVO;;;5
TAXI;3244830;22/10/2013;CANCELADO;12/11/1937;;10
TAXI;3270238;05/09/2015;BLOQUEADO;03/09/1943;;90
TAXI;3309037;05/03/2016;ATIVO;04/04/1956;23060085;5
TAXI;3317633;17/06/2016;?BITO;06/12/1956;;10
TAXI;3327132;04/05/2016;ATIVO;29/07/1951;;15
TAXI;3345130;14/06/2014;ATIVO;21/06/1932;18040403;5
TAXI;3359638;08/11/2015;ATIVO;;8080062;10
TAXI;3390934;03/08/2015;ATIVO;;17040531;5
TAXI;3392031;06/12/2015;ATIVO;24/12/1955;;10
TAXI;3408132;04/03/2015;ATIVO;;18080065;10
TAXI;3417638;03/04/2018;ATIVO;13/04/1952;;10
TAXI;3444430;05/10/2013;CANCELADO;22/07/1930;;30
TAXI;3452530;16/12/2014;ATIVO;;2100118;10
TAXI;3468330;19/10/2017;ATIVO;01/12/1947;;10
TAXI;3494233;04/09/2014;ATIVO;24/09/1944;17040213;10
TAXI;3504034;04/03/2016;ATIVO;01/04/1942;24001651;10
TAXI;3541436;16/07/2017;ATIVO;13/08/1947;;10
TAXI;3557839;26/02/2016;ATIVO;24/02/1948;20040350;5
TAXI;3595838;11/04/2014;ATIVO;01/06/1937;;5
TAXI;3599833;12/03/2018;ATIVO;;23040327;20
TAXI;3610632;09/09/2014;ATIVO;09/01/1933;20040210;10
TAXI;3637930;27/01/2016;ATIVO;15/03/1951;;10
TAXI;3682137;16/03/2015;ATIVO;;24001163;10
TAXI;3692035;16/11/2014;ATIVO;20/06/1932;20040199;10
TAXI;3735036;04/07/2017;ATIVO;05/07/1952;20040865;5
TAXI;3752232;25/05/2015;ATIVO;05/06/1943;24000817;10
TAXI;3758338;20/05/2016;ATIVO;01/05/1948;24000388;5
TAXI;3759733;27/07/2015;ATIVO;06/09/1950;;10
TAXI;3776735;18/12/2015;ATIVO;10/01/1944;24000540;10
TAXI;3820335;03/04/2014;ATIVO;;17060648;10
TAXI;3822630;19/02/2015;ATIVO;03/03/1945;17120730;10
TAXI;3845532;15/04/2015;ATIVO;12/05/1950;23040327;25
TAXI;3857034;21/02/2016;ATIVO;16/03/1951;;10
TAXI;3925536;26/12/2014;ATIVO;08/01/1942;;5
TAXI;3929736;08/10/2014;ATIVO;02/11/1944;;20
TAXI;3941531;27/02/2015;BLOQUEADO;;24001740;10
TAXI;3951430;09/03/2010;CANCELADO;31/03/1935;18060099;10
TAXI;4004736;30/09/2014;ATIVO;;;10
TAXI;4005430;04/02/2011;?BITO;02/03/1941;;5
TAXI;4013131;07/03/2016;ATIVO;15/03/1943;18080723;10
TAXI;4016130;16/12/2014;ATIVO;06/01/1945;18040071;5
TAXI;4017234;18/01/2016;ATIVO;08/01/1948;17120730;5
TAXI;4047931;24/05/2014;ATIVO;;11120037;5
TAXI;4067436;23/08/2016;ATIVO;12/09/1948;17080240;10
TAXI;4093232;15/01/2016;ATIVO;25/01/1946;17080649;10
TAXI;4105435;01/09/2015;ATIVO;20/10/1950;23040327;10
TAXI;4112539;06/02/2015;ATIVO;04/03/1942;12040444;5
TAXI;4131231;30/03/2017;ATIVO;20/05/1952;17140277;10
TAXI;4149033;20/03/2017;ATIVO;08/04/1952;;10
TAXI;4151631;19/10/2016;ATIVO;;;10
TAXI;4171233;24/10/2018;ATIVO;12/12/1948;24000051;10
TAXI;4184033;03/06/2018;ATIVO;25/07/1953;8060096;5
TAXI;4189833;27/06/2016;ATIVO;12/01/1947;;10
TAXI;4191935;14/09/2014;ATIVO;25/10/1949;;10
TAXI;4202937;05/03/2015;ATIVO;29/03/1942;20060092;10
TAXI;4228332;06/03/2015;ATIVO;24/04/1938;24001600;10
TAXI;4229436;14/04/2015;ATIVO;13/05/1950;18020801;5
TAXI;4248031;23/07/2018;ATIVO;04/09/1953;;5
TAXI;4377737;26/08/2018;ATIVO;18/03/1954;;5
TAXI;4412435;21/02/2016;ATIVO;03/04/1937;;5
TAXI;4440935;13/09/2012;BLOQUEADO;13/09/1952;;30
TAXI;4443535;01/09/2014;ATIVO;08/10/1931;7100116;10
TAXI;4456130;24/07/2016;ATIVO;24/08/1934;;15
TAXI;4463234;10/04/2016;ATIVO;;17080843;5
TAXI;4466330;07/04/2013;?BITO;20/04/1948;24000639;5
TAXI;4472136;09/04/2013;?BITO;;;10
TAXI;4476530;11/09/2018;ATIVO;08/11/1953;;5
TAXI;4479831;28/01/2016;ATIVO;14/02/1944;;15
TAXI;4494237;30/08/2016;ATIVO;09/12/1950;10060073;10
TAXI;4500032;05/10/2014;ATIVO;11/08/1941;;5
TAXI;4529138;12/11/2014;ATIVO;29/12/1944;18040292;5
TAXI;4536231;10/02/2015;ATIVO;;;5
TAXI;4544730;19/11/2016;ATIVO;15/01/1943;9080090;5
TAXI;4557530;25/08/2016;ATIVO;29/08/1946;;30
TAXI;4559630;14/09/2014;ATIVO;08/07/1939;;10
TAXI;4567030;12/11/2009;CANCELADO;12/11/1950;;10
TAXI;4569733;17/09/2016;ATIVO;24/10/1942;24000086;5
TAXI;4583639;13/11/2014;ATIVO;06/09/1953;24001678;10
TAXI;4597036;08/11/2016;ATIVO;;24000353;5
TAXI;4599632;01/10/2014;ATIVO;01/10/1954;11100222;5
TAXI;4609832;14/08/2015;ATIVO;30/08/1933;;5
TAXI;4619234;11/05/2014;ATIVO;24/07/1949;;10
TAXI;4635434;03/05/2015;ATIVO;23/05/1955;;5
TAXI;4643330;15/04/2014;BLOQUEADO;26/02/1949;;10
TAXI;4657039;02/10/2018;ATIVO;;18060064;10
TAXI;4661737;28/05/2016;ATIVO;;24000361;5
TAXI;4663136;08/08/2017;ATIVO;31/07/1956;1080091;10
TAXI;4685938;28/05/2015;ATIVO;14/07/1938;20040474;5
TAXI;4733231;11/02/2015;ATIVO;18/03/1955;;15
TAXI;4737334;02/02/2015;ATIVO;11/03/1955;6140076;10
TAXI;4745639;28/07/2014;ATIVO;04/10/1934;1080075;10
TAXI;4756738;05/01/2017;ATIVO;;18140220;10
TAXI;4758234;21/08/2017;ATIVO;10/10/1952;18040330;5
TAXI;4763831;30/09/2015;?BITO;17/11/1945;24000922;20
TAXI;4792033;28/12/2018;ATIVO;12/01/1949;;10
TAXI;4803639;26/04/2015;ATIVO;27/05/1950;24000116;10
