MODALIDADE;LICENÇA;TIPO_TERMO;NRO_TERMO;TIPO_ATUACAO
ESCOLAR;552300;Termo Permissão;4490;TITULAR
ESCOLAR;554400;Termo Permissão;3590;TITULAR
ESCOLAR;555600;Termo Permissão;2010;TITULAR
ESCOLAR;556600;Termo Permissão;2840;TITULAR
ESCOLAR;557000;Termo Permissão;4190;TITULAR
ESCOLAR;557100;Termo Permissão;4190;TITULAR
ESCOLAR;557200;Termo Permissão;4190;TITULAR
ESCOLAR;559200;Termo Permissão;1380;TITULAR
ESCOLAR;559300;Termo Permissão;1380;TITULAR
ESCOLAR;559400;Termo Permissão;1020;TITULAR
ESCOLAR;561700;Termo Permissão;2730;TITULAR
ESCOLAR;561800;Termo Permissão;2730;TITULAR
ESCOLAR;561900;Termo Permissão;2730;TITULAR
ESCOLAR;563500;Termo Permissão;3590;TITULAR
ESCOLAR;563600;Termo Permissão;3590;TITULAR
ESCOLAR;564300;Termo Permissão;1550;TITULAR
ESCOLAR;566000;Termo Permissão;4220;TITULAR
ESCOLAR;566100;Termo Permissão;3220;TITULAR
ESCOLAR;566200;Termo Permissão;3220;TITULAR
ESCOLAR;568200;Termo Permissão;1380;TITULAR
ESCOLAR;569500;Termo Permissão;3620;TITULAR
ESCOLAR;570200;Termo Permissão;3060;TITULAR
ESCOLAR;570300;Termo Permissão;3060;TITULAR
ESCOLAR;571000;Termo Permissão;2180;TITULAR
ESCOLAR;573100;Termo Permissão;1510;TITULAR
ESCOLAR;574500;Termo Permissão;3540;TITULAR
ESCOLAR;574600;Termo Permissão;2070;TITULAR
ESCOLAR;575200;Termo Permissão;1110;TITULAR
ESCOLAR;575400;Termo Permissão;3060;TITULAR
ESCOLAR;575500;Termo Permissão;3060;TITULAR
ESCOLAR;575700;Termo Permissão;2040;TITULAR
ESCOLAR;577500;Termo Permissão;3500;TITULAR
ESCOLAR;577600;Termo Permissão;3500;TITULAR
ESCOLAR;580400;Termo Permissão;4080;TITULAR
ESCOLAR;585100;Termo Permissão;4460;TITULAR
ESCOLAR;586400;Termo Permissão;4570;TITULAR
ESCOLAR;586500;Termo Permissão;2920;TITULAR
ESCOLAR;587800;Termo Permissão;1800;TITULAR
ESCOLAR;587900;Termo Permissão;1800;TITULAR
ESCOLAR;590000;Termo Permissão;2290;TITULAR
ESCOLAR;590400;Termo Permissão;1700;TITULAR
ESCOLAR;591100;Termo Permissão;1080;TITULAR
ESCOLAR;591300;Termo Permissão;3520;TITULAR
ESCOLAR;591600;Termo Permissão;3600;TITULAR
ESCOLAR;591700;Termo Permissão;3600;TITULAR
ESCOLAR;592400;Termo Permissão;3060;TITULAR
ESCOLAR;593900;Termo Permissão;3440;TITULAR
ESCOLAR;594100;Termo Permissão;4110;TITULAR
ESCOLAR;597100;Termo Permissão;3800;TITULAR
ESCOLAR;602200;Termo Permissão;3000;TITULAR
ESCOLAR;602400;Termo Permissão;2210;TITULAR
ESCOLAR;604100;Termo Permissão;4450;TITULAR
ESCOLAR;605000;Termo Permissão;4130;TITULAR
ESCOLAR;605200;Termo Permissão;2880;TITULAR
ESCOLAR;605300;Termo Permissão;2960;TITULAR
ESCOLAR;606700;Termo Permissão;1550;TITULAR
ESCOLAR;608200;Termo Permissão;1550;TITULAR
ESCOLAR;608900;Termo Permissão;4140;TITULAR
ESCOLAR;612300;Termo Permissão;1040;TITULAR
ESCOLAR;613500;Termo Permissão;4290;TITULAR
ESCOLAR;616300;Termo Permissão;3790;TITULAR
ESCOLAR;616700;Termo Permissão;2550;TITULAR
ESCOLAR;616900;Termo Permissão;1590;TITULAR
ESCOLAR;618200;Termo Permissão;4460;TITULAR
ESCOLAR;618500;Termo Permissão;4010;TITULAR
ESCOLAR;618600;Termo Permissão;4010;TITULAR
ESCOLAR;619000;Termo Permissão;1560;TITULAR
ESCOLAR;619300;Termo Permissão;2980;TITULAR
ESCOLAR;619500;Termo Permissão;2680;TITULAR
ESCOLAR;620700;Termo Permissão;4010;TITULAR
ESCOLAR;621700;Termo Permissão;3070;TITULAR
ESCOLAR;621800;Termo Permissão;3070;TITULAR
ESCOLAR;622400;Termo Permissão;4100;TITULAR
ESCOLAR;622600;Termo Permissão;1210;TITULAR
ESCOLAR;623700;Termo Permissão;1420;TITULAR
ESCOLAR;623800;Termo Permissão;4100;TITULAR
ESCOLAR;624200;Termo Permissão;3370;TITULAR
ESCOLAR;624600;Termo Permissão;3600;TITULAR
ESCOLAR;625100;Termo Permissão;1020;TITULAR
ESCOLAR;625900;Termo Permissão;2630;TITULAR
ESCOLAR;626000;Termo Permissão;2630;TITULAR
