Id Placa;Categoria;Município;Marca Veículo CET;Marca Veículo Denatran;Tipo Veículo Cet;Tipo Veículo Denatran;Cor Denatran;Ano Modelo;Tipo Registro;Espécie
424;1;7145;19;115709;6;6;27;1991;1;19
425;1;7107;19;115709;6;6;43;1991;1;19
426;1;6181;35;104710;6;6;159;1991;1;0
427;1;7061;19;115709;6;6;27;1991;1;19
428;1;6715;51;102608;6;6;159;1991;1;19
429;1;7107;19;116907;6;6;27;1988;1;19
430;1;7075;35;104714;6;6;116;1989;1;0
431;1;7107;19;116906;6;6;35;1987;1;19
432;1;6155;19;115099;6;6;35;1979;1;19
433;1;7107;51;146505;6;6;159;1995;1;19
434;1;7107;35;104499;6;6;35;1980;1;19
435;1;7107;51;102402;6;6;140;1987;1;19
436;1;7107;19;115720;6;6;159;1995;1;19
437;1;6377;51;108205;6;6;51;1995;1;19
438;1;7107;19;115719;6;6;108;1995;1;19
439;1;6131;35;149502;6;6;159;1995;1;19
440;1;6429;35;104707;6;6;159;1987;1;19
441;1;6789;35;104412;6;6;116;1991;1;19
442;1;6313;51;102616;6;6;159;1996;1;19
443;1;7107;51;102616;6;6;159;1996;1;19
444;1;6545;19;115720;6;6;108;1995;1;19
445;1;7107;19;115721;6;6;43;1995;1;19
446;1;6239;51;102616;6;6;159;1996;1;19
447;1;6377;51;102616;6;6;159;1996;1;0
448;1;7107;19;115721;6;6;116;1995;1;19
449;1;7107;35;104710;6;6;159;1989;1;19
450;1;6547;35;104705;6;6;51;1988;1;19
451;1;7107;35;107199;6;6;108;1995;1;19
452;1;7107;35;104707;6;6;116;1987;1;19
453;1;6563;19;116606;6;6;116;1987;1;19
454;1;7149;213;111006;6;6;140;1995;1;19
455;1;7107;35;104999;6;6;94;1977;1;19
456;1;7107;19;115720;6;6;35;1995;1;19
457;1;7107;35;104707;6;6;140;1989;1;19
458;1;7107;108;107212;6;6;116;1997;1;19
459;1;6635;35;104902;6;6;116;1987;1;19
460;1;6291;19;115718;6;6;51;1995;1;19
461;1;7145;27;103199;6;6;43;1980;1;0
462;1;6505;51;102601;6;6;140;1986;1;19
463;1;7107;19;115099;6;6;35;1977;1;19
464;1;7107;35;104707;6;6;43;1986;1;19
465;1;6477;19;116613;6;6;159;1995;1;19
466;1;7107;27;103201;6;6;19;1986;1;19
467;1;7107;299;107314;6;6;140;1995;1;19
468;1;6377;27;103302;6;6;27;1988;1;0
469;1;6291;19;115722;6;6;159;1995;1;19
470;1;7107;51;102613;6;6;27;1995;1;19
471;1;7107;19;115721;6;6;108;1995;1;19
472;1;7047;19;116604;6;6;43;1986;1;19
473;1;7107;51;108205;6;6;159;1995;1;19
474;1;6109;35;104411;6;6;51;1988;1;19
475;1;7107;27;103299;6;6;94;1984;1;19
476;1;6969;35;104709;6;6;27;1990;1;19
477;1;6689;19;117023;6;6;159;1995;1;19
478;1;6477;19;117704;6;6;140;1985;1;0
479;1;7107;51;102616;6;6;51;1996;1;19
480;1;6477;35;104707;6;6;116;1984;1;19
481;1;6671;19;117704;6;6;159;1986;1;19
482;1;6165;19;115099;6;6;35;1979;1;19
483;1;6429;19;117902;6;6;43;1977;1;19
484;1;7107;19;116717;6;6;43;1981;1;19
485;1;6713;51;102608;6;6;43;1991;1;19
486;1;7107;51;102604;6;6;51;1986;1;19
487;1;7107;51;102403;6;6;140;1988;1;19
488;1;6689;19;117707;6;6;159;1983;1;19
489;1;7107;51;102616;6;6;51;1995;1;19
490;1;7107;51;102616;6;6;27;1995;1;19
491;1;7107;51;102616;6;6;140;1996;1;19
492;1;7107;51;108205;6;6;159;1995;1;19
493;1;6155;27;102903;6;6;43;1980;1;19
494;1;7107;213;111007;6;6;51;1995;1;19
495;1;7107;213;111006;6;6;108;1995;1;19
496;1;6475;35;104499;6;6;94;1976;1;0
497;1;7107;51;102201;6;6;43;1984;1;19
498;1;7107;19;117023;6;6;159;1995;1;19
499;1;7107;51;102603;6;6;51;1988;1;19
500;1;6619;51;146502;6;6;19;1995;1;19
501;1;2951;51;102616;6;6;27;1996;1;19
502;1;7075;19;115709;6;6;43;1988;1;19
503;1;7107;35;149002;6;6;159;1995;1;19
504;1;6377;51;102403;6;6;140;1991;1;19
505;1;7181;51;102620;6;6;140;1996;1;19
506;1;7107;19;149906;6;6;35;1995;1;19
507;1;7221;51;102616;6;6;140;1996;1;19
508;1;7107;35;104412;6;6;43;1991;1;19
509;1;7107;51;102616;6;6;159;1996;1;19
510;1;7075;51;102616;6;6;159;1996;1;19
511;1;7107;51;102620;6;6;27;1996;1;19
512;1;7107;19;117023;6;6;51;1995;1;19
513;1;7107;51;146505;6;6;27;1995;1;19
514;1;7107;19;115720;6;6;108;1995;1;19
515;1;7017;51;108205;6;6;116;1995;1;19
516;1;6501;35;104707;6;6;94;1987;1;0
517;1;6291;51;118407;6;6;140;1996;1;19
518;1;7107;19;116602;6;6;159;1986;1;19
519;1;6359;51;146505;6;6;51;1995;1;19
520;2;6477;19;203300;25;13;43;1995;1;0
521;1;7107;51;146504;6;6;27;1995;1;19
522;1;7079;51;102620;6;6;116;1996;1;0
523;1;6477;51;108205;6;6;116;1995;1;19
524;1;6401;19;117001;6;6;27;1985;1;0
525;1;7107;51;108205;6;6;51;1995;1;19
526;1;7107;51;102620;6;6;51;1996;1;19
527;1;6817;51;108205;6;6;43;1995;1;19
528;1;7107;51;102616;6;6;159;1996;1;19
529;1;7107;51;102616;6;6;159;1995;1;19
530;1;6589;19;149906;6;6;159;1995;1;19
531;1;6219;51;102620;6;6;27;1996;1;19
532;1;7107;51;102599;6;6;35;1983;1;19
533;1;7107;51;102620;6;6;159;1996;1;19
534;1;6307;51;146504;6;6;27;1995;1;0
535;1;7145;51;102620;6;6;159;1996;1;19
536;1;7107;51;146505;6;6;116;1995;1;19
537;1;6465;51;108205;6;6;51;1995;1;19
538;1;7107;51;102403;6;6;140;1989;1;19
539;1;7107;51;204721;25;13;51;1996;1;27
540;1;7107;51;108205;6;6;51;1995;1;19
541;1;7107;51;102620;6;6;140;1996;1;19
542;1;7107;51;102620;6;6;159;1996;1;19
543;1;7107;51;102616;6;6;51;1996;1;19
544;1;7107;35;104707;6;6;51;1986;1;19
545;1;7107;51;204718;25;23;140;1995;1;27
546;1;6563;51;146505;6;6;159;1995;1;19
547;1;6313;51;108205;6;6;159;1995;1;19
548;1;7107;51;108205;6;6;51;1995;1;19
549;1;6403;51;204721;25;23;27;1996;1;27
550;1;6725;51;108205;6;6;116;1995;1;19
551;1;7107;51;102616;6;6;27;1996;1;19
552;1;6179;51;102616;6;6;51;1996;1;19
553;1;6119;108;109001;6;6;60;1996;1;19
554;1;7107;51;204717;25;13;43;1996;1;27
555;1;7107;3603;218802;25;13;43;1995;1;27
556;1;6281;51;102620;6;6;140;1996;1;19
557;1;6713;51;102620;6;6;27;1996;1;19
558;1;6807;51;146504;6;6;51;1995;1;19
559;1;6113;51;118407;6;6;140;1995;1;19
560;1;7107;51;108205;6;6;51;1995;1;19
561;1;7107;51;102616;6;6;27;1996;1;19
562;1;7107;51;102616;6;6;159;1996;1;19
563;1;6477;51;102620;6;6;140;1996;1;19
564;1;7107;51;108205;6;6;43;1995;1;19
565;1;7107;51;108205;6;6;27;1995;1;19
566;1;7057;51;102616;6;6;159;1996;1;19
567;1;6897;51;146504;6;6;116;1995;1;19
568;1;6369;51;102620;6;6;51;1996;1;19
569;1;6313;51;102616;6;6;27;1996;1;19
570;1;7107;51;102616;6;6;159;1996;1;19
571;1;7107;51;102620;6;6;27;1996;1;19
572;1;7107;51;102620;6;6;159;1996;1;19
573;1;7107;51;108205;6;6;116;1995;1;19
574;1;6619;51;204721;25;23;51;1996;1;27
