Codigo;Marca
004792;HARLEY DAVIDSON/VRSCDX A           
004793;I/H.DAVIDSON FLHTCUSE7             
004794;I/H.DAVIDSON FLSTF                 
004795;I/H.DAVIDSON FXS                   
004796;I/H.DAVIDSON FLD                   
004797;I/H.DAVIDSON FLSTN                 
004798;I/H.DAVIDSON FLHTCUTG              
004799;IMP/HARLEY DAVIDSON                
004801;IMP/HONDA NX 650 DOMINAT           
004802;IMP/HONDA SHADOW 600               
004803;IMP/HONDA SHADOW 1100              
004804;IMP/HONDA GOLD WING 1500           
004805;IMP/HONDA MAGNA 750                
004806;IMP/HONDA VFR 400                  
004807;IMP/HONDA VALKIRIE                 
004808;IMP/HONDA CBR 1100XX               
004809;IMP/HONDA VTR 1.000F               
004810;IMP/HONDA CHADOW 750               
004811;I/HONDA VFR 800                    
004812;I/HONDA XR650RY A                  
004813;I/HONDA CBR 900RRY ED              
004814;I/HONDA VARADERO                   
004815;I/HONDA CB 1000                    
004816;I/HONDA HORNET                     
004817;I/HONDA VALKYRIE GL 1500           
004818;I/HONDA XL 1000V VARADERO          
004820;I/HONDA GOLDWING GL 1800           
004821;I/ HONDA VT 1100                   
004822;I/HONDA ST 1100 ABS II             
004823;I/HONDA VTX 1800                   
004824;I/HONDA VTX 1800C                  
004825;I/HONDA  CB900F                    
004828;I/HONDA SH 150                     
004829;I/HONDA CB400 SUPER FOUR           
004831;I/HONDA GOLDWING GL1800A           
004832;I/HONDA CB250 1 SP NH1             
004833;I/HONDA CBR 1000RR4 BR             
004834;I/HONDA VALKYRIE RUNE              
004835;I/HONDA VTX 1300                   
004839;I/HONDA GL1800 GOLD WING           
004841;I/HONDA MAGNA VF 750               
004843;I/HONDA PAN-EUROPEAN               
004844;I/HONDA SILVER WING                
004846;I/HONDA ST 1300                    
004848;I/HONDA CB1300F                    
004850;I/HONDA SILVER WING ABS            
004852;I/HONDA SCOOTER X8R-S              
004854;I/HONDA INTERCEPTOR VFR            
004858;I/HONDA GOLDWING GL18BM            
004859;I/HONDA GOLDWING ACN XM            
004860;I/HONDA VFR 1200F                  
004861;I/HONDA RUCKUS                     
004862;I/HONDA CB 1000 HORNET             
004865;I/HONDA VFR 1200X                  
004869;I/HONDA CRF 250L                   
004899;IMP/HONDA                          
004900;IMP/BETA MX 50                     
004901;IMP/BETA MXL 80                    
004902;I/H.DAVIDSON XL 1200C              
004993;HARLEY DAVIDSON/FXDF               
004994;HARLEY DAVIDSON/FXS                
004999;IMP/HONDA CB 125                   
