id_local;local;subprefeitura;distrito;latitude;longitude
3201;LOEFGREEN, R x TRANQUILLI, R PROF;VILA MARIANA;SAUDE;-23,599598;-46,631723
3202;CRUZ, R STA x TRANQUILLI, R PROF x LOPES DE ALMEIDA, R DR;VILA MARIANA;VILA MARIANA;-23,596988;-46,631627
3203;TRANQUILLI, R PROF x JORGE TIBIRICA, R;VILA MARIANA;VILA MARIANA;-23,598234;-46,631658
3204;JORGE TIBIRICA, R x JOEL JORGE DE MELO, R;VILA MARIANA;VILA MARIANA;-23,598152;-46,633578
3205;AFONSO CELSO, R x PELEJA, R OUVID;VILA MARIANA;SAUDE;-23,602774;-46,635065
3206;DIVINO SALVADOR, AV x NHAMBIQUARAS, AL DOS;VILA MARIANA;MOEMA;-23,606045;-46,658399
3207;MOEMA, AV x MARACATINS, AL DOS;VILA MARIANA;MOEMA;-23,604545;-46,6585
3208;MOEMA, AV x NHAMBIQUARAS, AL DOS;VILA MARIANA;MOEMA;-23,605258;-46,657659
3209;NHAMBIQUARAS, AL DOS x ACOCE, AV;VILA MARIANA;MOEMA;-23,603673;-46,65615
3210;INDIANOPOLIS, AV x GUARAMOMIS, AL DOS;VILA MARIANA;MOEMA;-23,606772;-46,653172
3211;JUREMA, AV x AICAS, AL DOS;VILA MARIANA;MOEMA;-23,608933;-46,65825
3213;INDIANOPOLIS, AV x RUBEM BERTA, AV x CHIBARAS, AV x LIONS CLUBE-INDIANOPOLIS, PC;VILA MARIANA;MOEMA;-23,607752;-46,652641
3214;JOSE MARIA WHITAKER, AV x GUAPIACU, R;VILA MARIANA;SAUDE;-23,605544;-46,649204
3215;JOSE MARIA WHITAKER, AV x JOAQUIM DE ALMEIDA, R;VILA MARIANA;SAUDE;-23,606555;-46,648344
3216;INDIANOPOLIS, AV - (N 1192 - PROX. AL. DOS INDIGENAS);VILA MARIANA;SAUDE;-23,60895;-46,652245
3217;JOSE MARIA WHITAKER, AV x LUIS GOIS, R;VILA MARIANA;SAUDE;-23,603851;-46,649684
3218;LUIS GOIS, R x NAPOLEAO DE BARROS, R;VILA MARIANA;SAUDE;-23,603862;-46,644612
3219;CASIMIRO DA ROCHA, AV SEN x BOGARIS, R DOS - (N 1093);VILA MARIANA;SAUDE;-23,610575;-46,644049
3220;ORQUIDEAS, R DAS x HORTENSIAS, R DAS;VILA MARIANA;SAUDE;-23,607953;-46,642114
