CADLOG;ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;GEOCOD
5 13317;D061300015;13317;;;NC;11/06/2013;1204;4;D;;01;4705;;;01000000000100000;0100;;17;0102;13317;;EJN8504;MO;EQH8517;CM;;;AT;;;;
5 10376;D061300027;10376;;;NC;22/06/2013;1400;4;D;;01;4971;B;;01000000000000000;0100;;80;0103;10376;;DWU8769;MO;;;;;AT;;;;
100 19745;D061300028;19745;;100;;21/06/2013;1201;4;D;;01;5041;;;00000000000000010;0100;CT;80;0103;19745;;;SI;;;;;AT;;;;
06642&&13853;D061300031;06642;13853;;;27/06/2013;0835;4;D;;01;5196;;;01000000000000000;0100;CT;80;0103;06642;13853;EWE3280;MO;;;;;AT;;;;
5 09758;D061300032;09758;;;FTCAMARA;27/06/2013;1018;2;D;;01;5200;;;11000000000000000;0100;;67;0103;09758;;DRW6645;MO;FVJ6895;AU;;;CO;;;;
5 10376;D061300036;10376;;;NC;21/06/2013;2000;2;D;;01;5452;;;02000000000000000;0100;;80;0104;10376;;EQD5449;MO;DLV7448;MO;;;CL;;;;
10101&&09276;D061300054;10101;09276;;;03/06/2013;0825;2;D;;03;3487;;;01000001000000000;0100;CT;67;0106;09276;10101;DJC5316;OU;EJN7792;MO;;;CO;;;;
100 16593;D061300056;16593;;100;;13/06/2013;1530;2;D;;03;3542;;;11000000000000000;0100;CT;09;0106;16593;;EDK4235;AU;EOI3362;MO;;;CO;;;;
1 16725;D061300057;16725;;1;;15/06/2013;0324;4;D;;03;3633;;;10000000000000000;0100;CT;09;0106;16725;;EUA1300;AU;;;;;AT;;;;
5 04541;D061300059;04541;;;AC METRO LUZ;16/06/2013;2140;2;D;;03;3684;;;10000000000000000;0100;;67;0106;04541;;EFB6357;AU;;;;;CH;;;;
5 07281;D061300064;07281;;;PXVALE ANHAGABA;03/06/2013;1350;4;D;;03;4443;;;10000000000000000;0100;;67;0106;07281;;EPP9810;AU;;;;;AT;;;;
5 98795;D061300067;98795;;;NC;14/06/2013;1132;2;D;;03;4774;;;11000000000100000;0100;;67;0108;98795;;DVI8255;AU;EKJ1732;MO;EUL5723;CM;CO;;;;
16725&&19745;D061300069;16725;19745;;;24/06/2013;1110;2;D;;03;5021;;;11000000000000000;0100;CT;80;0108;16725;19745;EJO0497;MO;DSI4906;AU;;;CO;;;;
09276&&12132;D061300072;09276;12132;;;08/06/2013;1050;2;D;;03;900120;;;11000000000000000;0100;CT;67;0108;09276;12132;CMP6189;AU;DPU7060;MO;;;CO;;;;
23 05245;D061300088;05245;;23;;18/06/2013;1620;2;D;;04;5330;;;00100000000000000;0100;CT;26;0110;05245;;;ON;;;;;QD;;;;
5 05245;D061300090;05245;;;PXBOMBEIROS;26/06/2013;0230;2;D;;04;5675;;;11000000000000000;0100;;26;0110;05245;;EJO5897;MO;CXW8494;AU;;;CO;;;;
5 19764;D061300094;19764;;;AC R BR DE IJUI;06/06/2013;1147;2;D;;05;2971;;;11000000000000000;0100;;17;0111;19764;;CJW8381;MO;DOD7884;AU;;;CO;;;;
5 19764;D061300103;19764;;;PXVD JACEGUAI;19/06/2013;0808;2;D;;05;4945;;;11000000000000000;0100;;17;0111;19764;;EXC8010;MO;ELP5891;AU;;;CO;;;;
5 19764;D061300343;19764;;;NC;07/06/2013;0930;2;D;;36;1735;;;11000000000000000;0100;;17;0215;19764;;EFK6422;MO;FEZ4170;AU;;;CL;;;;
