ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS
D011200002;13317;;201;;01/01/2012;0816;2;D;;01;08;;;10000000000000000;0300;CT;17;0101;13317;;DSF9060;AU;;;;;CH;;;
D011200005;20418;;;NC;03/01/2012;2200;4;D;;01;67;;;00000000000000010;0100;CT;01;0101;20418;;;SI;;;;;AT;;;
D011200006;15984;;;NC;04/01/2012;1206;4;D;;01;93;;;01000000000000000;0200;CT;01;0101;15984;;DZL0681;MO;;;;;AT;;;
D011200008;17025;16744;;;07/01/2012;0641;4;D;;01;182;;;00000001000000000;0100;SI;80;0101;16744;17025;DJB5762;OU;;;;;AT;;;
D011200012;06642;;3350;;10/01/2012;1440;2;D;;01;292;C;;11000000000000000;0100;CT;09;0102;06642;;EYC8039;AU;DUV3432;MO;;;CO;;;
D011200015;19764;;;PXVD JACEGUAI;12/01/2012;0835;2;D;;01;345;;;01000000000000000;0100;VM;80;0102;19764;;EFC7567;MO;;;;;QM;;;
D011200018;11824;07335;;;16/01/2012;0805;2;D;;01;447;;;00000001000000000;0100;CT;80;0103;07335;11824;ECT1238;OU;;;;;QD;;;
D011200021;17025;;268;;23/01/2012;2121;4;D;;01;501;;;00000000000000010;0100;CT;01;0103;17025;;;SI;;;;;AT;;;
D011200025;15635;;100;;23/01/2012;0500;2;D;;01;649;;;10000000000000000;0200;CT;80;0103;15635;;DST7648;AU;;;;;CP;;;
D011200027;15984;;;NC;23/01/2012;1800;4;D;;01;694;;;00000000000000010;0100;CT;01;0103;15984;;;SI;;;;;AT;;;
D011200029;00275;;83;;24/01/2012;1417;4;D;;01;721;;;10000000000000000;0100;CT;80;0104;00275;;FAB8095;AU;;;;;AT;;;
D011200031;06642;13853;;;26/01/2012;0600;4;D;;01;754;;;10000000000000000;0100;CT;80;0104;06642;13853;ERZ7347;AU;;;;;AT;;;
D011200033;13853;06642;;;28/01/2012;0940;2;D;;01;823;;;11000000000000000;0100;CT;80;0104;06642;13853;DTE0036;AU;ANG3723;MO;;;CO;;;
D011200037;15984;;3350;;31/01/2012;0820;4;D;;01;907;;;01000000000000000;0200;CT;01;0104;15984;;DZL9088;MO;;;;;AT;;;
D011200051;17000;09276;;;01/01/2012;0440;2;D;;03;09;;;10000000000000000;0200;SA;67;0107;09276;17000;BNP7265;AU;;;;;CH;;;
D011200055;00880;;40;;07/01/2012;1333;4;D;;03;183;;;10000000000000000;0100;CT;67;0107;00880;;DZH7184;AU;;;;;AT;;;
D011200056;17633;;;PXLGO PAISSANDU;10/01/2012;2030;2;D;;03;269;;;11000000000000000;0100;CT;67;0107;17633;;CFF9474;AU;DTF8259;MO;;;CO;;;
D011200057;17000;09276;;;11/01/2012;0141;2;D;;03;280;;;10000000000000000;0100;CT;67;0107;09276;17000;DFL9179;AU;;;;;CH;;;
D011200060;17000;09276;;;20/01/2012;0545;2;D;;03;561;;;10000000000000000;0100;HG;67;0107;09276;17000;DZI1809;AU;;;;;CH;;;
D011200063;12132;;;PXPC D JOSE GAS;27/01/2012;2310;4;D;;03;783;;;01000000000000000;0100;CT;67;0108;12132;;;MO;;;;;AT;;;
D011200064;17115;09276;;;31/01/2012;2310;4;D;;03;901;;;00000000000000010;0100;CT;67;0108;09276;17115;;SI;;;;;AT;;;
D011200082;14804;;259;;19/01/2012;0411;4;D;;04;426;;;10000000000000000;0200;JD;63;0110;14804;;CMG1314;AU;;;;;AT;;;
D011200093;19764;;;NC;03/01/2012;0025;2;D;;05;42;;;10000000000000000;0100;VM;17;0112;19764;;EQY8527;AU;;;;;CH;;;
D011200101;19764;;;SBVD CONDESSA;17/01/2012;1700;2;D;;05;314;;;11000000000000000;0100;VM;17;0113;35614;;DTB8041;AU;DOU5367;MO;;;CO;;;
D011200117;06642;;3728;;21/01/2012;1430;4;D;;06;339;;;01000000000000000;0200;CT;09;0114;06642;;;MO;;;;;AT;;;
D011200316;19764;;;SBR CUBATAO;12/01/2012;1630;2;D;;36;378;;;11000000000000000;0200;VM;17;0211;19764;;;AU;EXG2202;MO;;;CL;;;
D011200318;19764;;;PXVD TUTOIA;19/01/2012;1930;2;D;;36;627;;;12000000000100000;0100;VM;17;0212;19764;;DXI5085;MO;EJO9063;MO;AQP4306;AU;CT;;;
D011200575;16744;;;NC;01/01/2012;0046;2;D;;46;250;;;20000000000000000;0100;CT;01;0325;16744;;;AU;DKG7416;AU;;;CO;;;
D011200589;01429;;17000;;22/01/2012;0358;2;D;;46;622;;;10000000000000000;0100;RV;73;0326;01429;;DWG0861;AU;;;;;CH;;;
D011200669;13014;;17000;;20/01/2012;1800;2;D;;89;517;;;01000000000000000;0100;PB;40;0336;13014;;EOI2632;MO;;;;;QM;;;
D011300005;09758;;10;;13/01/2013;1044;4;D;;01;309;C;;10000000000000000;0100;CN3;67;0101;09758;;EME3911;AU;;;;;AT;;;
D011300006;06642;13853;;;13/01/2013;1245;2;D;;01;316;;;10000000000100000;0300;CN3;80;0101;06642;13853;FFG0699;CM;CAE5689;AU;;;CO;;;
D011300011;06642;;3000;;18/01/2013;1810;4;D;;01;491;;;00000000000000010;0100;CN3;09;0102;06642;;;SI;;;;;AT;;;
D011300012;06136;;;FTAO SHOPPING;18/01/2013;1400;4;D;;01;492;;;00000000000100000;0100;CN3;80;0102;06136;;DYF1075;CM;;;;;AT;;;
D011300014;10376;;140;;22/01/2013;2221;4;D;;01;580;;;00000001000000000;0200;CN3;80;0102;10376;;CZZ5471;OU;;;;;AT;;;
D011300015;15635;;100;;23/01/2013;1310;2;D;;01;605;;;10000001000000000;0100;CN3;80;0102;15635;;DTD0577;OU;EEM4014;AU;;;CO;;;
D011300016;02795;;;PXTERMINAL BAND;23/01/2013;1740;2;D;;01;617;;;00100000000000000;0100;CN3;67;0102;02795;;EZL5865;ON;;;;;QD;;;
D011300018;16725;;268;;26/01/2013;0800;4;D;;01;676;;;10000000000000000;0100;CN3;09;0102;16725;;EFY9230;AU;;;;;AT;;;
D011300021;13317;07853;;;31/01/2013;2122;2;D;;01;806;;;10001000000000000;0200;CN3;67;0102;07853;13317;DFM0968;AU;;BI;;;CO;;;
D011300043;15323;;20;;11/01/2013;1834;4;D;;03;320;;;01000000000000000;0100;CN3;05;0105;15323;;EII8133;MO;;;;;AT;;;
D011300044;09276;10101;;;11/01/2013;2018;4;D;;03;321;;;00000001000000000;0100;CN3;67;0105;09276;10101;EZL9810;OU;;;;;AT;;;
D011300045;09276;;925;;20/01/2013;1450;2;D;;03;372;;;01001000000000000;0200;CN3;67;0105;09276;;EJO4985;MO;;BI;;;CO;;;
D011300046;16593;;;PXSEN QUEIROS;14/01/2013;1929;2;D;;03;389;;;11000000000000000;0100;CN3;09;0105;16593;;EXC9974;AU;EPM8664;MO;;;SI;;;
D011300047;16725;07204;;;21/01/2013;0740;4;D;;03;527;;;00000000000100000;0100;CN3;80;0105;07204;16725;EVM6747;CM;;;;;AT;;;
D011300049;09276;;786;;18/01/2013;2056;2;D;;03;535;;;10001000000000000;0100;CN3;67;0105;09276;;DTE4258;AU;;BI;;;CO;;;
D011300053;19996;;23;;31/01/2013;1440;4;D;;03;945;;;01000000000000000;0100;CN3;00;0106;19996;;CWY4502;MO;;;;;AT;;;
D011300063;14804;;;NC;10/01/2013;0800;2;D;;04;224;;;11000000000000000;0100;SI;63;0107;14804;;ESR3789;MO;;AU;;;CO;;;
D011300064;05245;;120;;12/01/2013;0045;2;D;;04;282;;;21000000000000000;0100;CN3;26;0108;05245;;EXH2619;MO;DYH8143;AU;EBS1278;AU;CO;;;
D011300072;05245;12132;;;18/01/2013;0750;2;D;;04;446;;;11000000000000000;0100;CN3;67;0108;05245;19996;EQS8928;MO;EQC6717;AU;;;CO;;;
D011300092;19764;;;NC;24/01/2013;1900;2;D;;05;745;;;11000000000000000;0100;SI;17;0111;19764;;FGR8225;AU;DGS3658;MO;;;CL;;;
D011300094;19764;;;SBVD CDSSA S JO;18/01/2013;1450;2;D;;05;357;;;01000000000000000;0100;SU2;17;0111;19764;;EJP1843;MO;;;;;QM;;;
D021200005;15984;;;NC;04/02/2012;0930;4;D;;01;1046;;;01000000000000000;0100;CT;01;0101;15984;;DEP0233;MO;;;;;AT;;;
